page_latest_low,page_latest_high,page_len_low,page_len_high,num_rows
4393962,5998668,313640,1545337,8,
2752095,3739269,1327264,1408203,0,
3610889,4493482,101397,1535800,22,
455769,1665551,140320,1241414,3,
4421430,5169213,596040,1228989,1,
3751586,4296265,26370,1551048,73,
1409842,4072974,100052,171775,68,
4844794,5027696,161748,398510,2,
434626,5779491,240545,849364,20,
5552736,6073088,549392,717700,0,
1081463,2751899,122021,1393181,7,
343817,1806272,256016,1077079,4,
3274533,6355138,875043,1433738,0,
5638403,6376101,42233,360404,527,
510035,4775956,1175242,1237323,0,
4194716,5540654,35476,924986,417,
2672548,5277519,656294,1194592,1,
1594179,6019789,98381,1352073,233,
4170673,6306463,617138,851856,1,
436457,3756726,1551970,1557017,0,
886574,4232373,1074292,1105365,0,
2246356,4760605,461228,1391469,2,
733386,3093588,311081,1522918,2,
1193523,3337258,169112,1329895,3,
3017364,4171373,726154,982883,0,
4033185,5243654,615743,760387,1,
724264,1289489,341351,506707,1,
2383153,6196191,112080,735965,142,
1269898,6360706,467840,1420384,7,
2388095,4736704,867302,1460228,0,
1194949,5814244,780616,1029902,1,
566386,4601670,1138754,1308682,0,
171017,5738720,61037,226093,397,
3661113,5973859,542592,1346631,2,
176185,3487842,578830,1488307,0,
374354,4793069,1317244,1361474,0,
1147462,6251546,1235485,1274203,0,
1005520,6200428,1196098,1542700,0,
4761542,5388657,806229,1097695,0,
665782,2823166,24305,636532,377,
425682,1810233,403899,1395896,0,
2637088,5747941,501154,1437483,1,
3805166,5279415,10973,1143212,1482,
1315324,3530028,333630,1150617,1,
3147695,5859692,6644,1230567,5906,
2037602,5034883,883357,1546821,0,
1290347,1731963,485398,1399693,0,
1908147,5318864,1177049,1275306,0,
358763,3570247,497221,1323252,1,
1226882,3244796,142745,457687,2,
591231,3268205,621609,1215281,0,
1563829,3041405,402235,1213100,1,
1855481,5888235,926285,964378,0,
2630841,4122012,764510,1036338,0,
342781,6067671,670258,1137746,1,
1400619,2278608,472716,564840,0,
3089631,4148346,404365,947292,0,
915031,1295431,344534,697798,1,
1944383,5410548,414606,881010,3,
399468,2414723,96131,285757,46,
1465430,3180181,591028,851716,0,
876018,4197900,620990,1394976,0,
3644898,4271460,419308,871385,0,
3862370,4420885,532029,1021519,0,
5813060,6064235,14658,1183290,654,
399446,6164375,128705,177642,56,
1515330,3071446,183968,661983,1,
1055690,3259716,292260,1247215,2,
43216,5997325,254038,386909,15,
1533634,6386079,954478,1141310,0,
1587069,5976923,307267,589510,7,
1204478,2770341,7340,7997,91,
3124681,4565195,461570,1492243,1,
2410029,3666686,390813,825321,1,
4356577,6298381,449273,1268569,6,
433786,3849628,692589,1247119,0,
4903674,5331355,262720,947939,2,
2506337,3295125,322360,1503214,1,
1279648,3465414,666420,1286916,0,
2241626,4226985,143783,543893,5,
2121286,4238693,105883,709999,37,
124093,731846,681747,942750,0,
531617,1746861,224163,402431,2,
4210663,5795385,1160741,1218774,0,
3314640,5946018,160193,1007308,47,
3103022,4451591,137112,518118,11,
1737420,2271145,946985,1019988,0,
1255750,3060586,587096,1175396,0,
3498033,4916620,85143,594215,69,
1004357,4942764,574860,1475152,1,
829425,3755510,518422,1003118,1,
4428935,5019298,437437,568499,1,
630664,2256324,182649,628410,3,
1694097,2790642,80962,651494,62,
770211,4503867,548130,644874,1,
